Description,Extracted
sand,sand
clay,clay
driftwatersupply,water drift
claysand,sand clay
clay,clay
claysandy,sand clay
drift,drift
sanddriftfinewatersupply,sand water drift
sandstonewatersupply,water sandstone
sandstone,sandstone
sandstone,sandstone
claysandy,sand clay
clay,clay
clayyellowsandy,sand clay
cementhard,cement
sanddriftredcoarse,sand drift
sand,sand
claysand,sand clay
clayboulder,boulders clay
rockredhard,rock
sandstone,sandstone
clay,clay
claydriftbandswatersupply,water drift clay
clayredsomesmallpebblespebbly,pebbles clay
clayyellow,clay
clay,clay
claysand,sand clay
clayyellowwhite,clay
claygrey,clay
sanddriftwatersupply,sand water drift
clayyellow,clay
claywhitestreaks,clay
drift,drift
clayyellow,clay
driftstoneywatersupply,water drift
clay,clay
driftgreenish,drift
cement,cement
claysand,sand clay
sanddriftfine,sand drift
pebblespink,pebbles
claymulticoloured,clay
limestone,limestone
pebbles,pebbles
clay,clay
claypinkwhitehardstreaks,clay
clayredwhite,clay
driftgreenish,drift
loam,loam
clayyellow,clay
claygrey,clay
clayyellow,clay
claypinkwhite,clay
sandstone,sandstone
sandcoarsewatersupply,sand water
sandstonehard,sandstone
shale,shale
sandstone,sandstone
sandstonesoft,sandstone
sandsilt,sand silt
silt,silt
shale,shale
sandstoneyellow,sandstone
sand,sand
sandstone,sandstone
sandstone,sandstone
shale,shale
clay,clay
sandstonedrift,sandstone drift
shale,shale
stoneswhitehard,stones
clayyellow,clay
sandstonehard,sandstone
sanddriftwatersupply,sand water drift
sandstonehard,sandstone
loamsandy,sand loam
clay,clay
veryhardsanddrift,sand drift
quartz,quartz
clayyellow,clay
clayred,clay
clay,clay
claymulticoloured,clay
watersupply,water
sandstone,sandstone
siltdrift,drift silt
claywhiteredhard,clay
sandstonewatersupply,water sandstone
sandstonesoft,sandstone
sandstonesoft,sandstone
sandstonehard,sandstone
sandcoarse,sand
sandstonesoft,sandstone
sandstone,sandstone
claygreysandy,sand clay
ironstonemixed,ironstone
clayhard,clay
sand,sand
clay,clay
claypowderywatersupply,water clay
sandwatersupply,sand water
sandreddish,sand
sand,sand
claygrey,clay
loamsandy,sand loam
gravelsand,gravel sand
sand,sand
clay,clay
clay,clay
claygrey,clay
clayyellowsandywatersupply,sand water clay
sandstone,sandstone
claywhitechalky,chalk clay
claywhitehardchalky,chalk clay
claysandy,sand clay
clay,clay
gravelsand,gravel sand
clayyellow,clay
sand,sand
clayreddishwhite,siderite clay
gravel,gravel
claywhite,clay
clay,clay
clayredwhite,clay
sanddriftwatersupply,sand water drift
clayreddish,clay
clayyellow,clay
clay,clay
gravelstoneycoarse,gravel
claysandy,sand clay
claywhitehard,clay
clay,clay
sandhardcemented,sand cement
clayyellowwhite,clay
clayred,clay
claysandy,sand clay
shalegrey,shale
clay,clay
claygreyyellow,clay
rockgrey,rock
claygrey,clay
chalkyellowwhite,chalk
clay,clay
clayyellow,clay
claysomegravelwatersupply,gravel water clay
sandstonewatersupply,water sandstone
clay,clay
