Exemplar,Matches
Shale,"Brown shale | Grey shale | Hard shale | Sandstone gravel shale | Shale | Shale black sandy | Shale coloured | Shale dark | Shale dark grey | Shale dark grey some hard bands | Shale grey | Shale grey sandy | Shale grey some hard | Shale hard | Shale sandy light | Shale white grey | Shale yellow | Shale, brown | Shale, loose, brown | Shale/yellow | Water bering brown shale | Yellow shale"
Clay large stones,As above. | Clay and stones | Clay large stones | Clay some waterworn stones | Clay stones | Clay stones white stones white
Sand - 1-2.5mm light brown,"Blue & white sand (f-vc) | Brown and orange sand fine to coarse clean | Brown sand | Brown sand (well graded) | Fine sand | Gravel; ligth brown, fine to medium, some fine to medium sand | Sand | Sand - .5-2mm, light brown | Sand - 1-2.5mm light brown | Sand - fine yellow/brown | Sand - light reddish brown, slightly clayey, fine to coarse mostly coarse, angular to subrounded, chert, jasper, feldspars and volcanic rock fragments. | Sand black sticky | Sand brown | Sand coarse | Sand coarse gravel | Sand dry | Sand fine | Sand fine-coarse | Sand fine-medium | Sand grey fine | Sand nominal | Sand slightly clayey fine | Sand soak | Sand well sorted | Sand yellow fine silt | Sand, coarse | Sand; (clean), light brown, fine & medium | Sand; 80% (0.5-1.5mm, 20% 1.5-3mm), trace of light grey-brown clay | Sand; light brown, fine & medium, some coarse sand | Sand; light brown, medium to coarse, some fine gravel & fine sand | Sand; yellow-brown, very coarse & fine gravel; subrounded quartz, feldspar (10%) & rock chip-s (5%) | Well graded sand | White sand fine and small gravel clean"
"Clay - 30% light grey brown, sand 50% pale brown, 1/5mm diameter, gravel 20% up to 6mm, trace of black carbonized wood","Blue clay | Brown and grey clay | Brown clay | Brown clay with pebbles | Brown silty clay very sticky | Clay | Clay - 30% light grey brown, sand 50% pale brown, 1/5mm diameter, gravel 20% up to 6mm, trace of black carbonized wood | Clay - brown | Clay - dark orangey brown, silty, fine to medium sandy, angular, clear quartz.  slightly micaceous.  decrease to absence of plant debris | Clay - light brown | Clay - light brown some light grey, extremely sandy, coarse | Clay - light brown, trace of light grey, very silty, trace of gravel up to 15mm 77-78m | Clay - light brown, very sandy, fine to coarse, some fine gravel | Clay - medium grey | Clay - variegated (white, cream pink) min sand (as above) less than 10% | Clay : light brown | Clay alluvium | Clay and boulders | Clay black | Clay coloured | Clay dark brown | Clay dark grey hard | Clay dense | Clay firm | Clay greenish shaley | Clay grey | Clay grey kopi (copi) | Clay hard sticky | Clay light brown | Clay light brown grey | Clay light brown white | Clay light grey crumbly | Clay matrix | Clay orange silty | Clay pink | Clay puggy | Clay red | Clay red tight soft seams | Clay reddish | Clay ridge | Clay ridge boulder | Clay soft | Clay soft basalt | Clay sticky | Clay subsoil | Clay white | Clay with sandstone | Clay yellow | Clay yellow grey | Clay, brown | Clay, dark grey | Clay, gravelly, brown | Clay, grey | Clay, gritty, red | Clay, medium, tan brown, firm | Clay/grey fg | Clay; brown and buff grey, fine to coarse sandy, tightly compacted | Clay; carbonaceous, dark grey & black | Clay; dark chocolate brown, fine to coarse, sand (<5%), angular to subangular, clear & rose quartz. | Clay; dark grey, carbonaceous, & mediumg ravel 20% | Clay; dark orangey brown, silty, coarse sandy & fine gravelly, angular, jasper, smokey & rose quartz & ironstone | Clay; friable, loose, tiny inter-bands of gravel. | Clay; light brown, strongly cohesive, contains considerable disseminated carbonate & broken carbonate (possibly dolomitic) clasts to 1/2,  | Clay; light yellow-brown, silty, fine sandy and fine to medium gravelly (<20%, angular to sub-angular, smoky quartz, jasper, trachyte and porphyry) | Clay; red brown, firm - stiff, no odour, minor fe stone fragments. | Conglomerate clay | Gravelly clay | Grey & brown clay | Grey and white clay | Grey clay | Grey clay and shale fragments (?) | Light brown clay | Pink volcanic clay | Red clay | Sandy clay; extremely sandy & gravelly up to 5mm, light grey brown | Shale clay | Silty clay, as above, red brown colour change at 4.5m | Softer brown & grey clay | Yellow clay"
Red,Red
Sand water bearing,Gravel water bearing sand fine | Sand gravel water bearing | Sand grey gravel water bearing | Sand large gravel water bearing | Sand small gravel water bearing | Sand water bearing
Sandstone weathered,"Basalt, porous, orange/brown, weathered | Sandstone grey weathered | Sandstone weathered | Sandstone yellowish weathered | Sandstone; weathered, medium to coarse, argillaceous cement, angular to subangular, smokey quartz & jasper. | Seams | Weathered sandstone with basalt | Weathered stone"
Clay bands,"Basalt, red clay bands | Clay bands | Clay, band | Rock yellow decomposed some clay bands | Sandyclay | Shale some clay bands | Some clay bands | White sand with clay bands"
Fine to coarse grey sand,Fine to coarse grey sand
Gravel water supply,Alluvium water supply | Basalt fractured water supply | Basalt water supply | Cavity water supply | Conglomerate water supply | Granite decomposed water supply | Granite grey hard water supply | Gravel clean water supply | Gravel fine water supply | Gravel water supply | Hard water supply | Shale orange water supply | Shale soft broken water supply | Shale water bearing water supply | Water supply
