Exemplar,Matches
Alluvium,"- | Alluvium | Brown sand & gravel | Brown sand & gravel dirty - dry | Brown sand and gravel cleaner | Gravel & sand; fine to coarse brown gravel, & light brown sand, 50/50 | Gravel & sand; gravel 70% (40% 2-4mm, 30% 4-10 mm) and sand 30% (1-2mm), trace of light grey clay, overall colour light grey-brown, green tinge | Gravel & silt & sand; gravel 40% (2-8mm), and silt 40% (pale grey), and sand 20% (0.5-2mm) | Gravel dry sand | Gravel nominal | Gravel sand | Gravel sand medium | Gravel; coarse 35% jasper porphyry indurated mudstone (up to 25mm or 15mm) well rounded subangular.  gravel medium 25% as above.  gravel fine 40%, as above. | Gravel; light brown to light grey, fine to medium, some fine to medium sand & silt | Mostly clayey sand and gravel | Mudstone/siltstone/sandstone, extremely weathered, brown, with some orange grey mottlings | Ridge gravel / broken basalt | Sand & gravel | Sand & gravel, very coarse | Sand and gravel | Sand claybound gravel | Sand clayey gravel | Sand clean gravel | Sand fine gravel | Sand gravel | Sand gravel silty | Sand gravel wet | Sand grey fine small gravel | Sand grey gravel fine | Sand light brown gravel clean | Sand red gravel geologist | Sand white gravel | Sand/gravel, very coarse | Sand; 80%, light orangey brown, very silty & clayey, micaceous, fine 20%, medium 20% & coarse 40%, angular to subangular, composed almost entirely of clear quartz.  gravel 20%, fine, angular to subrounded, basalt, jasper, clear & smokey quartz. | Sand; brown & light brown, silty, few gravel grains | Sand; fine to medium, brown, & fine rounded gravel, mainly quartz | Sand; light brown, dry, fine to coarse grained, poorly sorted, dense. minor rounded gravels 10-40mm | Sandstone gravel shale | Silty clay brown with white flakes | Soft sandstone & gravel | Soil loam | Soil surface"
Alluvium nominal,Alluvium nominal
Basalt very hard,Basalt very hard
Basalt/blue,Basalt/blue
"Conglomerate, grey granule","Conglomerate, grey granule"
"Clay, medium, tan brown, firm","Basalt, red clay bands | Brown and grey clay with limestone | Brown and grey clay with some limestone | Brown clay with pebbles | Brown silty clay | Clay alluvium | Clay and boulders | Clay and stones | Clay coloured | Clay dark brown | Clay dark grey hard | Clay firm | Clay green grey silty limestone | Clay grey fine sandy silt | Clay grey kopi (copi) | Clay grey sandy | Clay hard sandstone | Clay hard sandy | Clay hard sticky | Clay large stones | Clay light brown light grey sandy fine | Clay light brown sandy | Clay light greenish yellow grey sandy | Clay light grey crumbly | Clay matrix | Clay puggy | Clay red sandy | Clay red tight soft seams | Clay ridge | Clay ridge boulder | Clay sandy | Clay sandy fine gravel water supply | Clay sandy thin layers sand | Clay soft basalt | Clay soft sandy | Clay some limestone | Clay sticky | Clay stones | Clay stones white stones white | Clay white sandy | Clay white some silty, sandy bands | Clay with sandstone | Clay yellow sandy | Clay, brown, stiff, occassional trace sand | Clay, dark grey | Clay, medium, tan brown, firm | Clay, orange | Clay/grey fg | Clay; 70%, brown to dark brown, silty, fine to coasre sandy & fine to carse gravelly.  gravel 30% (fine 20%, medium to coarse 10%), angular to subangular, basalt, jasper, chert, porphyry, quartzite, trachyte, weathered rock fragments. | Clay; brown, extremely sandy, very fine | Clay; carbonaceous, dark grey & black | Clay; dark chocolate brown, fine to coarse, sand (<5%), angular to subangular, clear & rose quartz. | Clay; dark orangey brown, silty, coarse sandy & fine gravelly, angular, jasper, smokey & rose quartz & ironstone | Clay; friable, loose, tiny inter-bands of gravel. | Clay; grey, sandy (medium) | Clay; greyish with rock fragments, mainly pink siltstone? grey siltstone? (probably bedrock) | Clay; light brown & light grey, sandy (fine) | Clay; light brown, sandy (very fine) | Clay; light brown, silty | Clay; light brown, strongly cohesive, contains considerable disseminated carbonate & broken carbonate (possibly dolomitic) clasts to 1/2,  | Clay; orange-brown, fine to coarse very sandy and fine to coarse gravelly (angular to sub-rounded, jasper, basalt smoky quartz and siltstone) | Clay; red brown, firm - stiff, no odour, minor fe stone fragments. | Coarse gravel rocks and clay | Grey clay and shale fragments (?) | Light orange clay | Loam | Orange and brown clay | Rock | Rock grey | Rock hard | Sandy clay | Sandy clay, black | Sandy clay, grey | Sandy clay; brown - well graded sand & gravel. angular & rounded to 1/4.  - cohesive (slightly), sample appears to be contaminated with bentonite (blobs of strongly cracking greenish clay) | Sandy clay; extremely sandy & gravelly up to 5mm, light grey brown | Shale coloured | Silty clay | Silty clay - brown | Silty clay, brown | Wash creek"
"Clay; light brown trace of light grey, silty","Blue clay | Brown and grey clay | Brown clay | Brown silty clay very sticky | Clay | Clay & gravel | Clay & gravel; clay, 90% dark brown, and gravel, 10% up to 12mm, some concretions as for 3-4m | Clay - 30% light grey brown, sand 50% pale brown, 1/5mm diameter, gravel 20% up to 6mm, trace of black carbonized wood | Clay - brown | Clay - dark orangey brown, silty, fine to medium sandy, angular, clear quartz.  slightly micaceous.  decrease to absence of plant debris | Clay - light brown | Clay - light brown some light grey, extremely sandy, coarse | Clay - light brown, trace of light grey, very silty, trace of gravel up to 15mm 77-78m | Clay - light brown, very sandy, fine to coarse, some fine gravel | Clay - medium grey | Clay - variegated (white, cream pink) min sand (as above) less than 10% | Clay : light brown | Clay bands | Clay bands reddish grey gravel clay reddish grey yellow hard sandy | Clay black | Clay compacted gravel | Clay dense | Clay gravel | Clay gravel bands | Clay gravel clay | Clay gravel ironstone | Clay gravel water bearing | Clay gravel water supply | Clay greenish shaley | Clay grey | Clay grey sandy gravel | Clay light brown | Clay light brown grey | Clay light brown silty some gravel | Clay light brown white | Clay light gravel gravel | Clay orange silty | Clay orangey brown, silty, fine to coarse sandy, angular, clear and smoky quartz and feldspar.  fine gravel less than 1% present.  slightly micaceous | Clay pink | Clay pink sand | Clay red | Clay red gravel | Clay reddish | Clay sandy gravel | Clay sandy sticky | Clay soft | Clay some gravel | Clay some gravel water supply | Clay some waterworn stones | Clay subsoil | Clay white | Clay with gravel; clay 60% (light brown-grey, very sticky), and gravel 40% (with fine 20%, medium 10%, and coarse 10%, sub-angular to sub-rounded, jasper, basalt, porphyry, clear and smoky quartz) | Clay yellow | Clay yellow grey | Clay, band | Clay, brown | Clay, gravelly, brown | Clay, grey | Clay, gritty, red | Clay, light brown, with gravel layers upt o 30cm thick. | Clay, tan brown, silty sand interbeds | Clay; 40%, red brown.  gravel 40%, red brown, 2-15mm, subrounded, quartz, jasper, chalcedony, porphyry, chert & rock frgments.  sand 20%, red brown, fine to coasre, mostly jasper & quartz sand. | Clay; 60% light brown, sand 40% medium | Clay; 90%, light brown.  sand 10%, light brown, fine to medium | Clay; brown and buff grey, fine to coarse sandy, tightly compacted | Clay; choc brown, containing <2% gravel (2-20mm). | Clay; clay, 95%, dark brown, and a little fine gravel 5% | Clay; dark grey, carbonaceous, & mediumg ravel 20% | Clay; dark red brown, dry to slightly moist, loose, minor fine to medium gravel. fill to about 3m. 3m - dry. 5m - dry, dense. 6m - increase in gravel content from 5.5m down, slightly moist to dry.  hc odour from 5.5m down, getting stronger. 7.5m - sli | Clay; light brown and pale grey, silty, some gravel, fine | Clay; light brown trace of light grey, silty | Clay; light brown, trace of fine gravel | Clay; light yellow-brown, silty, fine sandy and fine to medium gravelly (<20%, angular to sub-angular, smoky quartz, jasper, trachyte and porphyry) | Conglomerate clay | Conglomerate; core sample 116.43m - 119.48m; light green matrix, badly weathered, soft interval cored, recovery 1.52m, core logged by i. krumins | Gravel & clay | Gravel clay | Gravel clay fine | Gravel large dry clay | Gravel m/sand some clay l/stone good | Gravel some clay bands water bearing | Gravel some clay coarse | Gravel; 80% (fine 30%, medium 30% & coarse 20%), as above (minus weathered rock fragments).  clay 20%, as above. | Gravel; 80%, slightly clayey (fine 10%, medium 40% & coarse 30%), as above (+ weathered rock fragments).  clay 20%, orangey brown & brownish red, sticky, silty & fine sandy. | Gravel; 90% (fine 30%, medium 40% & coarse 20%), mainly jasper & smokey quartz, with minor clear quartz, jasper & weathered rock fragments.  clay, light brown, silty & slightly micaceous, fine to medium sandy. | Gravel; 90%, up to 8mm, various rock fragments.  clay 10%, purple & brown | Gravel; fine & medium, brown, & light brown sandy clay 5-10% | Gravel; grey, medium, rounded to subrounded, mainly quartz & jasper 50%, grey sandy clay 50% | Gravelly clay | Grey & brown clay | Grey and white clay | Grey clay | Light brown clay | Pink volcanic clay | Red & brown clay with broken rock | Red clay | Rock grey hard | Rock yellow decomposed some clay bands | Sand & clay strings | Sand & clay; 50%, light brown (fine 30%, medium 40% & coarse 30%), mostly chert & jasper. clay 50%, orange brown. | Sand & clay; sand 95% (fine to 2mm), and clay 5% (brown) | Sand yellow clay | Sandy clay and gravel | Sandy clay; brown, & some gravel grains | Sandy clay; light brown, strongly cohesive, rare silica clasts, . light brown sandy clay, cohesive, containing silicate jasper & lithic clasts from fine sand to mediumg ravel, poorly graded,  | Sandy wood particle | Sandy, silty clay; light brown, dry, low plasticity, stiff, minor gravels 10-20mm | Shale clay | Shale some clay bands | Siltstone (weathered), dark grey, with some sandy clay, brown | Silty clay, as above, red brown colour change at 4.5m | Silty clay, brown, some gravel | Softer brown & grey clay | Some clay bands | Sticky, silty, graverly brown clay | Tight clayed & claybound gravel & rocks | Very fine sand clay bound | White sand with clay bands | Yellow clay"
Very fine silty sand,Very fine silty sand
Washed river  gravel,"Alluvial gravels | As above. | Black soil | Clay & sand & gravel; clay 60% (brown), and sand & gravel 40% (up to 6mm) | Clay; 40%, orange brown with white streaks.  sand 30%, orangey brown (30% coasre, 40% medium & 30% fine), mostly quartz & jasper.  gravel 30%, blue brown, 2-20mm, subangular to subrounded, porphyry, chert, quartz, jasper & rock fragments. | Clay; 50% brown. sand 30%, brown fine to coarse, subangular gravel 20%, brown, 2-20mm, subrounded mineralogy as above. | Clay; 70% brown, sand & gravel 30% most 1 1/2-3mm, max 10mm | Clay; 70%, light brown. sand 25%, red brown, fine to coarse, mostly quartz & jasper. gravel 5%, brown, 2-5mm, subangular, chert, jasper, quartz & rock fragments. | Claybound gravel | Clayey gravel | Coarse sand & gravel | Conglomerate | Dry gravel | Dry gravel & boulders | Fine sand & some gravel with layer of clay in mobile | Fine to coarse brown sand | Gravel | Gravel & sand & clay; gravel 40% (light brown, 2-20mm, sub-rounded, fair sorting, mineralogy as above) and sand 40% (brown, fine to coarse) and clay 20% (light brown) | Gravel & stone - blue | Gravel (wb) | Gravel - 30% 1/10mm-.5mm, 20% .5-2mm, 50% 2-3.5mm, clay 6% medium brown | Gravel - 30% 2-8mm, 20% 8-20mm, angular and subrounded, sand 40% fine to 2mm, clay 10% dark brown, some white. | Gravel - coarse 75% grey brown mostly jasper chert, quartz subangular, well rounded. gravel fine-medium 10% as above. sand yellow fine-coarse, silty and clayey 15% mostly quartz angular, subrounded. | Gravel and sand (med. clay) | Gravel claybound | Gravel claybound basalt stones large | Gravel claybound fine | Gravel clayey | Gravel dirty | Gravel dry | Gravel fine | Gravel fine-medium sand | Gravel stones | Gravel waterworn | Gravel yellow medium small small | Gravel, brown grey, silty clayey, <5mm | Gravel, sandy & clay & fine sand | Gravel, sandy, very dense, dry, grey brown | Gravel; 20% 2-4mm, 30% 4-8mm, 20% 8-15mm, 30% 1/2-2mm, light brown | Gravel; 80% grey, 2-15mm, subrounded good sorting, mineralogy as above.  sand 20%, fine to coarse | Gravel; as above, but clay 10% | Gravel; as above, but clay 20% | Gravel; as above, except gap graded some clay fraction present but fine & medium sand largely abasent - coarse sand, fine & coarse gravel present. . some green jasper clasts | Gravel; as above, some brown clay cuttings | Gravel; coarse to very coarse, pebbles both subangular, rounded, including: jasper chert quartz etc | Gravel; fine & medium, brown, quartzite, lavas, etc | Gravel; fine, brown, quartz, jasper, basalt, etc, & brown clay 30% | Gravel; gravel (60% 1.25-2.5mm, 30% 2.5-6mm, 10% 6-10mm) and clay 5% (grey, trace of brown carbonised wood), overall colour grey | Gritstone; orangey to brownish orangey, subangular to subrounded grains, jasper, smokey quartz, chert, chalcedony & mica flakes. | Limestone band? | Quartz white | Sand & gravel & clay | Sand and gravel with some clay bands | Sand gravel some clay bands | Sand gravel water supply stones some clay bands | Sand gravel, some clay | Sand; light grey, silty, & light grey sandy clay, several medium gravel grains | Silt clayey | Siltstone (coaly) | Small washed gravel and coarse sand | Soil | Soil alluvial | Soil black | Soil black nominal | Washed river  gravel"
Granite,Granite
