HydroCode,OBJECTID,BoreID,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,MajorLithCode,MinorLithCode,Description,Source,LogType,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Latitude,longitude
GW036600.1.1,312138,10053464,245.8,NGS,89.5,91.0,156.3,154.8,GRVL,,Gravel cemented water bearing,NSW Hydstra,1,,,,,,,,,-30.7613,150.037
GW030378.3.1,253499,10046253,307.0,NGS,9.14,12.19,297.86,294.81,CLAY,,"Clay; brown and buff grey, fine to coarse sandy, tightly compacted","L. Drury, WC&IC",2,,,,,,,,,-31.3887,150.466
GW900892.1.1,790280,10144626,272.88,NGS,54.2,111.0,218.68,161.88,UNKN,,Pink volcanic clay,NSW Hydstra,1,,,,,,,,,-30.9457,150.401
GW902811.1.1,804318,10146515,265.52,NGS,25.5,74.0,240.02,191.52,CRSE,,Coarse gravel rocks and clay,NSW Hydstra,1,,,,,,,,,-30.8776,150.249
GW967721.1.1,818141,10149335,488.97,NGS,28.0,30.5,460.97,458.47,SHLE,,Shale,NSW Hydstra,1,,,,,,,,,-31.476,150.807
GW006168.1.1,65206,10021512,291.88,NGS,39.62,76.2,252.26,215.68,BSLT,,Basalt hard,NSW Hydstra,1,,,,,,,,,-30.3712,149.965
GW000858.1.1,7744,10016207,294.46,NGS,37.49,38.1,256.97,256.36,ROCK,,Rock grey,NSW Hydstra,1,,,,,,,,,-30.7629,150.207
GW030305.1.1,251158,10046089,278.3,NGS,33.53,35.05,244.77,243.25,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.9951,150.428
GW969567.1.1,830705,10151193,371.36,NGS,44.2,45.7,327.16,325.66,SHLE,,"Shale, water bearing",NSW Hydstra,1,,,,,,,,,-30.9708,150.882
GW968903.1.1,826435,10150518,534.64,NGS,11.0,16.0,523.64,518.64,ROCK,,"Rock, fractured, brown, water bearing",NSW Hydstra,1,,,,,,,,,-30.3742,150.778
GW029919.1.1,238480,10045291,180.22,NGS,43.28,45.41,136.94,134.81,SAND,,Sand fine-medium,NSW Hydstra,1,,,,,,,,,-30.2159,149.254
GW036363.3.1,303354,10052977,155.0,NGS,3.1,4.6,151.9,150.4,CLAY,,Clay - light brown,I. Krumins,2,,,,,,,,,-29.874,148.911
GW001969.1.1,18340,10017318,383.04,NGS,91.14,91.74,291.9,291.3,ROCK,,Rock,NSW Hydstra,1,,,,,,,,,-31.119,149.112
GW969777.1.1,832525,10151402,330.6,NGS,93.0,98.8,237.6,231.8,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-31.276,149.891
GW027369.1.1,221665,10042757,291.46,NGS,0.0,1.22,291.46,290.24,SOIL,,Soil black,NSW Hydstra,1,,,,,,,,,-31.2279,150.525
GW901825.1.1,797155,10145558,222.23,NGS,3.0,6.0,219.23,216.23,UNKN,,Sandy clay,NSW Hydstra,1,,,,,,,,,-30.3931,149.904
GW028424.1.1,228241,10043800,164.33,NGS,41.15,42.98,123.18,121.35,CLAY,,Clay sandy,NSW Hydstra,1,,,,,,,,,-30.1018,148.966
GW020735.1.1,167307,10035990,216.66,NGS,39.92,52.12,176.74,164.54,CLAY,,Clay light greenish yellow grey sandy,NSW Hydstra,1,,,,,,,,,-30.4162,149.419
GW045034.1.1,361893,10060427,399.03,NGS,6.71,8.84,392.32,390.19,ROCK,,Rock white quartzite,NSW Hydstra,1,,,,,,,,,-31.034,150.887
GW012144.1.1,112245,10027459,218.23,NGS,11.58,12.49,206.65,205.74,CLAY,,Clay gravel,NSW Hydstra,1,,,,,,,,,-30.2923,149.799
GW900653.1.1,788413,10144387,211.68,NGS,0.0,2.0,211.68,209.68,UNKN,,Black soil,NSW Hydstra,1,,,,,,,,,-30.2237,149.719
GW901370.1.1,793843,10145104,279.41,NGS,64.0,65.0,215.41,214.41,SAND,,Sand - fine yellow/brown,NSW Hydstra,1,,,,,,,,,-30.9945,149.858
GW036441.3.1,305867,10053138,256.5,NGS,47.24,48.77,209.26,207.73,SAND,,"Sand & clay; sand 95% (fine to 2mm), and clay 5% (brown)","I. Krumins, WRC",2,,,,,,,,,-30.8493,149.954
GW030088.1.1,242817,10045586,342.8,NGS,67.36,68.58,275.44,274.22,CLAY,,Clay bands reddish grey gravel clay reddish grey yellow hard sandy,NSW Hydstra,1,,,,,,,,,-31.4659,150.607
GW063075.1.1,450364,10077961,275.87,NGS,43.8,45.4,232.07,230.47,SAND,,Sand tight gravel water supply,NSW Hydstra,1,,,,,,,,,-31.0156,150.448
GW900329.1.1,786180,10144063,324.32,NGS,27.6,33.4,296.72,290.92,UNKN,,Soft basalt,NSW Hydstra,1,,,,,,,,,-31.4246,150.292
GW008662.1.1,90913,10024004,207.08,NGS,7.62,9.44,199.46,197.64,CLAY,,Clay white,NSW Hydstra,1,,,,,,,,,-30.1879,149.677
GW037679.1.1,325614,10055019,434.74,NGS,4.57,9.14,430.17,425.6,GRNT,,Granite weathered,NSW Hydstra,1,,,,,,,,,-31.0765,151.056
GW030117.1.1,244233,10045672,209.0,NGS,36.58,39.32,172.42,169.68,SAND,,Sand grey fine small gravel,NSW Hydstra,1,,,,,,,,,-30.2715,149.73
GW038902.1.1,332499,10056232,419.71,NGS,45.72,60.96,373.99,358.75,BSLT,,Basalt hard,NSW Hydstra,1,,,,,,,,,-31.0818,150.756
GW044541.1.1,359543,10059950,470.38,NGS,0.0,0.15,470.38,470.23,SOIL,,Soil,NSW Hydstra,1,,,,,,,,,-31.077,150.999
